flight_year,carrier,airport,uid,flight_month,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2014,UA,BOS,94570,78,-852.0624000000003,508.37147999999996,12344,2851,1016,96,914,1,825,231,12,2834.0,55609,7118,45642,29,61621
2014,UA,DCA,94663,78,-924.4512,466.22520000000003,5854,1250,429,44,361,0,411,182,21,1227.0,21394,2885,18987,0,30375
2014,UA,DEN,94500,78,-1256.064,478.34028000000006,43058,8369,2826,328,2616,1,2602,508,120,8032.0,157926,23024,107153,37,193791
2014,UA,DFW,94715,78,-1164.456,394.7615999999999,2963,749,269,23,211,0,251,33,13,692.0,12609,2209,9222,0,17510
2014,UA,EWR,94473,78,-890.0243999999998,488.31,44667,9595,2238,267,4425,1,2666,914,99,9877.0,132863,21116,238217,38,200389
2014,UA,IAH,94468,78,-1144.0968,359.81268000000006,61591,11583,3978,458,3583,1,3562,731,186,11131.0,220969,33374,142558,43,270912
2014,UA,JFK,94730,78,-885.3468000000001,487.6775999999999,4722,1008,320,19,492,0,178,65,18,1095.0,19198,1942,27215,0,17348
2014,UA,LAS,94572,78,-1381.8240000000003,432.96120000000013,12640,2557,981,90,590,0,896,86,13,2477.0,50448,7422,27139,0,63584
2014,UA,LAX,94529,78,-1420.884,407.31,32577,7761,2906,253,2390,0,2214,365,37,7390.0,155114,19549,91093,0,177637
2014,UA,MIA,94820,78,-963.4872000000001,309.51828,3041,740,295,30,230,0,184,27,7,716.0,15026,2500,10649,0,14771
2014,UA,ORD,94462,78,-1054.8576,503.7432000000001,57935,13941,3515,378,6402,0,3646,1375,203,14132.0,200229,33580,337162,11,276917
2014,UA,PHL,94704,78,-902.8919999999999,478.46268000000003,3951,1107,349,40,394,0,324,64,7,1159.0,18124,3197,23866,0,24329
2014,UA,PHX,94725,78,-1344.1439999999996,401.21148000000017,5784,1350,587,42,265,1,458,57,7,1300.0,29650,3684,11006,14,33657
2014,UA,SFO,94460,78,-1468.5,451.42788,52226,13133,3412,373,6176,0,3174,689,72,13225.0,192350,28958,320627,7,251559
2014,WN,ATL,95593,78,-1013.1371999999998,403.64040000000006,20914,4681,1426,105,1087,4,2061,331,58,3914.0,70233,9426,38689,84,116431
2014,WN,BOS,95733,78,-852.0624000000003,508.37147999999996,9376,2568,815,118,482,1,1153,138,12,2427.0,43758,9106,22307,45,70381
2014,WN,DCA,95643,78,-924.4512,466.22520000000003,6302,984,346,20,187,0,431,108,16,812.0,18264,1344,7087,6,22043
2014,WN,DEN,95544,78,-1256.064,478.34028000000006,57001,12936,3545,479,2727,27,6158,310,236,11052.0,172016,41574,114172,978,334364
2014,WN,EWR,95642,78,-890.0243999999998,488.31,6018,2070,581,154,705,0,630,192,16,2328.0,41254,13040,45071,30,40299
2014,WN,LAS,95827,78,-1381.8240000000003,432.96120000000013,74201,17417,4341,287,3034,25,9730,594,90,14233.0,207754,24276,121855,758,499332
2014,WN,LAX,95742,78,-1420.884,407.31,38676,11582,3088,90,2649,20,5736,672,28,9338.0,143832,6420,93376,661,315980
2014,WN,PHL,95888,78,-902.8919999999999,478.46268000000003,8738,2788,869,174,610,3,1134,219,20,2874.0,52416,13202,35062,76,71680
2014,WN,PHX,95740,78,-1344.1439999999996,401.21148000000017,57011,14172,4190,134,2036,19,7792,507,91,11374.0,195985,10118,71434,994,403900
2014,WN,SFO,96051,78,-1468.5,451.42788,15323,6276,1199,239,1927,3,2907,551,17,6218.0,66421,17807,106814,255,181757
2015,AA,ATL,157676,78,-1013.1371999999998,403.64040000000006,8474,1691,697,61,460,8,467,105,21,1571.0,39089,5387,18368,364,31052
2015,AA,BOS,157598,78,-852.0624000000003,508.37147999999996,20177,3781,1158,151,1308,11,1151,425,16,3452.0,65598,10990,56888,585,73040
2015,AA,DCA,157646,78,-924.4512,466.22520000000003,20466,3893,1179,170,1539,10,995,410,76,3365.0,61424,15662,62692,628,61469
2015,AA,DEN,157754,78,-1256.064,478.34028000000006,7918,1707,638,82,515,1,471,103,25,1491.0,33759,6698,19295,85,29616
2015,AA,DFW,157486,78,-1164.456,394.7615999999999,146558,22927,6494,1031,6905,49,8447,3188,697,27833.0,603783,102364,291684,1879,670279
2015,AA,EWR,157984,78,-890.0243999999998,488.31,6087,1685,409,54,809,5,406,101,11,1647.0,23063,4416,43990,280,27049
2015,AA,IAH,157811,78,-1144.0968,359.81268000000006,7324,1460,576,62,412,4,407,100,22,1444.0,33662,5173,20140,229,27414
2015,AA,JFK,157481,78,-885.3468000000001,487.6775999999999,17107,3596,913,109,1645,9,916,331,48,4268.0,75751,10204,87895,487,81762
2015,AA,LAS,157601,78,-1381.8240000000003,432.96120000000013,12653,2219,800,109,561,14,738,97,19,2099.0,44935,8799,22720,538,48940
2015,AA,LAX,157505,78,-1420.884,407.31,36037,6995,2123,307,2716,21,1824,353,65,7119.0,159333,24067,99506,837,143372
2015,AA,MIA,157597,78,-963.4872000000001,309.51828,52657,10567,3126,315,4057,38,3028,505,185,10662.0,235013,28994,141984,1585,232136
2015,AA,ORD,157572,78,-1054.8576,503.7432000000001,55847,9768,2434,320,3799,18,3194,1045,174,10760.0,174213,28940,192566,778,249103
2015,AA,PHL,157714,78,-902.8919999999999,478.46268000000003,24855,4167,1206,124,1705,15,1115,232,40,3659.0,71599,9617,68437,702,69162
2015,AA,PHX,157665,78,-1344.1439999999996,401.21148000000017,33307,4741,1654,135,1593,23,1336,236,50,4153.0,103830,10849,49534,869,84100
2015,AA,SFO,157533,78,-1468.5,451.42788,13655,2971,869,132,1243,6,719,149,10,2826.0,49404,11593,58130,369,50092
2015,AS,ATL,158924,78,-1013.1371999999998,403.64040000000006,492,79,33,2,31,1,13,0,1,47.0,1256,55,937,16,570
2015,AS,BOS,158684,78,-852.0624000000003,508.37147999999996,1526,154,53,5,77,0,19,15,5,119.0,3322,317,2880,0,639
2015,AS,DCA,158667,78,-924.4512,466.22520000000003,1449,185,43,3,111,0,26,1,1,148.0,2551,377,4714,0,1246
2015,AS,DEN,158847,78,-1256.064,478.34028000000006,1715,220,89,6,87,0,38,2,1,145.0,4074,556,2701,0,1368
2015,AS,DFW,158804,78,-1164.456,394.7615999999999,1482,187,59,3,100,2,23,0,8,108.0,2271,278,2928,78,933
2015,AS,EWR,158738,78,-890.0243999999998,488.31,722,111,28,7,57,0,20,5,3,90.0,1335,320,2811,0,938
2015,AS,IAH,158910,78,-1144.0968,359.81268000000006,412,62,14,1,39,0,7,0,2,38.0,803,43,1083,0,345
2015,AS,JFK,60816,42,-295.1156,162.5592,107,6,3,0,1,1,1,0,0,3.0,126,0,29,19,29
2015,AS,LAS,158776,78,-1381.8240000000003,432.96120000000013,4400,500,180,8,190,2,122,2,5,352.0,9155,386,5961,61,5559
2015,AS,LAX,158550,78,-1420.884,407.31,8988,1291,331,17,742,3,199,14,5,978.0,17666,1387,29878,46,9703
2015,AS,ORD,158627,78,-1054.8576,503.7432000000001,1929,259,82,6,149,0,24,4,4,219.0,4763,629,6770,0,957
2015,AS,PHL,158774,78,-902.8919999999999,478.46268000000003,365,61,10,5,44,0,2,1,1,58.0,656,365,2369,0,63
2015,AS,PHX,158794,78,-1344.1439999999996,401.21148000000017,2457,311,130,4,105,1,71,0,2,235.0,7140,120,3496,60,3259
2015,AS,SFO,158722,78,-1468.5,451.42788,5651,1050,220,32,644,2,152,8,15,1027.0,14996,2465,36253,91,7825
2015,DL,ATL,159227,78,-1013.1371999999998,403.64040000000006,242650,27623,7964,1207,9049,14,9391,992,684,32246.0,764593,128807,440154,1152,600068
2015,DL,BOS,159468,78,-852.0624000000003,508.37147999999996,15459,2928,780,116,1155,1,878,314,8,2913.0,49036,10213,52654,77,62784
2015,DL,DCA,159505,78,-924.4512,466.22520000000003,9386,1529,555,84,568,0,320,54,38,1388.0,28723,8392,26491,0,19668
2015,DL,DEN,159523,78,-1256.064,478.34028000000006,7798,1196,431,56,442,1,267,21,16,1063.0,23496,5912,18776,26,15561
2015,DL,DFW,159623,78,-1164.456,394.7615999999999,5562,731,286,53,233,0,160,14,24,665.0,14969,4281,10971,0,9687
2015,DL,EWR,159822,78,-890.0243999999998,488.31,5481,1019,257,48,541,0,175,51,15,1186.0,16014,5389,37459,0,12308
2015,DL,IAH,159657,78,-1144.0968,359.81268000000006,3148,441,173,36,135,0,98,4,8,437.0,9130,3444,7237,0,6390
2015,DL,JFK,159735,78,-885.3468000000001,487.6775999999999,27725,5366,1189,153,2645,4,1373,307,76,6411.0,103111,15506,159126,176,106737
2015,DL,LAS,159523,78,-1381.8240000000003,432.96120000000013,11721,1618,554,94,536,0,434,24,21,1545.0,36849,7678,21589,0,26588
2015,DL,LAX,159380,78,-1420.884,407.31,27819,4821,1356,206,2003,6,1250,61,38,4511.0,99622,16295,70609,428,83711
2015,DL,MIA,159441,78,-963.4872000000001,309.51828,9272,1389,508,91,436,0,355,70,25,1337.0,28504,8281,17684,0,25730
2015,DL,ORD,159575,78,-1054.8576,503.7432000000001,7654,1326,392,72,651,2,211,23,20,1406.0,22523,6273,43707,136,11733
2015,DL,PHL,159588,78,-902.8919999999999,478.46268000000003,7178,1281,341,54,655,1,230,44,4,1345.0,21133,5075,38091,55,16360
2015,DL,PHX,159586,78,-1344.1439999999996,401.21148000000017,7516,1037,406,62,374,0,195,11,11,860.0,22373,4637,13821,0,10754
2015,DL,SFO,159402,78,-1468.5,451.42788,10738,2073,505,103,959,0,504,42,14,1958.0,32669,8846,45672,0,30284
2015,NK,ATL,161057,78,-1013.1371999999998,403.64040000000006,5006,1684,407,22,868,7,378,57,13,1684.0,23273,1615,45817,316,30026
2015,NK,BOS,161063,78,-852.0624000000003,508.37147999999996,2476,636,150,6,319,1,158,50,0,663.0,10161,996,16106,56,12462
2015,NK,DEN,161184,78,-1256.064,478.34028000000006,4008,1087,277,23,502,5,277,74,9,1189.0,17101,2141,29053,170,22855
2015,NK,DFW,161038,78,-1164.456,394.7615999999999,9288,2776,569,35,1386,6,776,173,28,3068.0,35555,4029,76131,593,67759
2015,NK,IAH,161138,78,-1144.0968,359.81268000000006,5671,1942,384,29,1060,11,457,102,15,2012.0,23177,2394,56840,521,37810
2015,NK,LAS,161021,78,-1381.8240000000003,432.96120000000013,9993,2738,609,38,1351,10,728,129,7,2841.0,36197,4105,72892,336,56903
2015,NK,LAX,161113,78,-1420.884,407.31,4832,1621,407,20,817,10,369,57,2,1676.0,25225,1582,44288,250,29236
2015,NK,ORD,161054,78,-1054.8576,503.7432000000001,10939,3859,605,58,2325,8,863,283,16,4183.0,38790,6301,138015,358,67522
2015,NK,PHL,161178,78,-902.8919999999999,478.46268000000003,1412,518,112,12,239,2,155,40,0,663.0,7458,1253,17696,30,13350
