uid,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
4096,2014,7,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",368,101,31.01,0,28.49,27,0,689,1474,0,1664
4097,2014,7,MQ,Envoy Air,EVV,"Evansville, IN: Evansville Regional",147,23,6.61,0,5.94,4,2,202,554,0,364
4098,2014,7,MQ,Envoy Air,ILM,"Wilmington, NC: Wilmington International",31,13,0.35,0,3.31,0,0,0,243,0,124
4099,2014,7,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",149,37,11.32,0,12.76,2,0,35,397,0,555
4100,2014,7,MQ,Envoy Air,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",86,12,3.7,0,4.04,3,0,31,105,0,184
4101,2014,7,MQ,Envoy Air,FNT,"Flint, MI: Bishop International",65,8,3.09,0,4.07,3,0,0,31,0,151
4102,2014,7,MQ,Envoy Air,ROW,"Roswell, NM: Roswell International Air Center",88,17,7.93,1,6.91,5,0,0,50,50,325
4103,2014,7,MQ,Envoy Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",122,19,8.07,0,6.85,4,0,33,102,0,279
4104,2014,7,MQ,Envoy Air,DBQ,"Dubuque, IA: Dubuque Regional",84,11,4.37,0,4.8,0,0,0,111,0,224
4105,2014,7,MQ,Envoy Air,DRO,"Durango, CO: Durango La Plata County",62,6,1.38,0,2.87,2,0,13,43,0,119
4106,2014,7,MQ,Envoy Air,TVC,"Traverse City, MI: Cherry Capital",34,7,3,0,2.42,0,0,0,63,0,81
4107,2014,7,MQ,Envoy Air,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",148,26,6.88,0,12.77,2,0,113,149,0,549
4108,2014,7,MQ,Envoy Air,AEX,"Alexandria, LA: Alexandria International",91,22,6.79,0,9.24,4,0,15,172,0,372
4109,2014,7,MQ,Envoy Air,MSN,"Madison, WI: Dane County Regional-Truax Field",261,44,12.82,0,16.58,9,0,16,432,0,739
4110,2014,7,MQ,Envoy Air,CHO,"Charlottesville, VA: Charlottesville Albemarle",31,2,0,0,0,1,0,0,65,0,0
4111,2014,7,MQ,Envoy Air,CLL,"College Station/Bryan, TX: Easterwood Field",88,15,3.61,0,9.17,6,0,6,91,0,347
4112,2014,7,MQ,Envoy Air,PIA,"Peoria, IL: General Downing - Peoria International",172,31,7.88,0,12.64,2,0,11,274,0,402
4113,2014,7,MQ,Envoy Air,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",236,34,12.73,0,11.33,5,0,4,382,0,641
4114,2014,7,MQ,Envoy Air,JFK,"New York, NY: John F. Kennedy International",558,98,21.95,0,21.77,52,3,143,1969,0,975
4115,2014,7,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",324,86,34.73,0.74,31.43,3,0,377,510,20,1562
4116,2014,7,MQ,Envoy Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",294,81,25.85,0,18.96,14,1,124,1696,0,1091
4117,2014,7,MQ,Envoy Air,ACT,"Waco, TX: Waco Regional",120,24,9.84,0,4.36,4,0,73,209,0,152
4118,2014,7,MQ,Envoy Air,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",214,31,10.67,0,9.69,7,0,220,278,0,467
4119,2014,7,MQ,Envoy Air,CMH,"Columbus, OH: John Glenn Columbus International",580,146,42.28,0,31.4,31,1,234,2975,0,1580
4120,2014,7,MQ,Envoy Air,FWA,"Fort Wayne, IN: Fort Wayne International",177,32,12.99,0,4.88,2,0,154,354,0,260
4121,2014,7,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",346,62,22.19,0,18.52,19,1,14,794,0,1091
